Document,Path,Term,Definition
סיוע ברכישת אביזרי עזר לעיוורים 6 7,6.7/,ועדה לכניסת מוצרים חדשים,"ממונה ע""י הנהלת השירות לעיוור . הרכב הוועדה כמפורט בסעיף 5 להלן."
סיוע ברכישת אביזרי עזר לעיוורים 6 7,6.7/,וועדה מקצועית עליונה,"ועדה הדנה בהשגה המוגשת על החלטת מטה השירות לעיוור, ראה הוראה 6.21 בתע""ס."
הוראה 6.7,6.7/,זכיין,גוף שזכה במכרז משרד הרווחה והשירותים החברתיים לניהול ומכירת מכשירי עזר לאוכלוסיית היעד.
הוראה 6.7,6.7/,ועדת סבסוד ציוד טכנולוגי,"ממונה על ידי מנכ""ל משרד הרווחה ומורכבת מנציג הנהלת השירות לעיוור המשמש כיו""ר הוועדה, תקציבן אגף השיקום ונציג חשבות המשרד."
הוראה 6.7,6.7/,ועדה לכניסת מוצרים חדשים,"ממונה ע""י הנהלת השירות לעיוור . הרכב הוועדה כמפורט בסעיף 5"
הוראה 6.7,6.7/,ועדת חריגים,וועדת סבסוד ציוד טכנולוגי תשמש גם בתפקיד וועדת חריגים. ראה סעיף 2.2.
הוראה 6.7,6.7/,וועדה מקצועית עליונה,"ועדה הדנה בהשגה המוגשת על החלטת מטה השירות לעיוור הרלוונטי בשירות לעיוור ראה הוראת 6.21 בתע""ס"
הוראת סבסוד 6.7,6.7/,זכיין,גוף שזכה במכרז משרד הרווחה והשירותים החברתיים לניהול ומכירת מכשירי עזר לאוכלוסיית היעד.
הוראת סבסוד 6.7,6.7/,ועדת סבסוד ציוד טכנולוגי,"ממונה על ידי מנכ""ל משרד הרווחה והשירותים החברתיים ומורכבת מנציג הנהלת השירות לעיוור המשמש כיו""ר הוועדה, תקציבן אגף השיקום ונציג חשבות המשרד."
הוראת סבסוד 6.7,6.7/,ועדה לכניסת מוצרים חדשים,"ממונה ע""י הנהלת השירות לעיוור . הרכב הוועדה כמפורט בסעיף 5 להלן."
הוראת סבסוד 6.7,6.7/,ועדת חריגים,וועדת סבסוד ציוד טכנולוגי תשמש גם בתפקיד וועדת חריגים. ראה סעיף 2.2 לעיל.
הוראת סבסוד 6.7,6.7/,וועדה מקצועית עליונה,"ועדה הדנה בהשגה המוגשת על החלטת מטה השירות לעיוור הרלוונטי בשירות לעיוור ראה הוראת 6.21 בתע""ס"
מעודכן 30.3.16,6.7/,זכיין,גוף שזכה במכרז משרד הרווחה והשירותים החברתיים לניהול ומכירת מכשירי עזר לאוכלוסיית היעד.
מעודכן 30.3.16,6.7/,ועדת סבסוד ציוד טכנולוגי,"ממונה על ידי מנכ""ל משרד הרווחה והשירותים החברתיים ומורכבת מנציג הנהלת השירות לעיוור המשמש כיו""ר הוועדה, תקציבן אגף השיקום ונציג חשבות המשרד."
מעודכן 30.3.16,6.7/,ועדה לכניסת מוצרים חדשים,"ממונה ע""י הנהלת השירות לעיוור . הרכב הוועדה כמפורט בסעיף 5 להלן."
מעודכן 30.3.16,6.7/,ועדת חריגים,וועדת סבסוד ציוד טכנולוגי תשמש גם בתפקיד וועדת חריגים. ראה סעיף 2.2 לעיל.
מעודכן 30.3.16,6.7/,וועדה מקצועית עליונה,"ועדה הדנה בהשגה המוגשת על החלטת מטה השירות לעיוור הרלוונטי בשירות לעיוור ראה הוראת 6.21 בתע""ס"
3.4.16,6.7/,זכיין,גוף שזכה במכרז משרד הרווחה והשירותים החברתיים לניהול ומכירת מכשירי עזר לאוכלוסיית היעד.
3.4.16,6.7/,ועדת סבסוד ציוד טכנולוגי,"ממונה על ידי מנכ""ל משרד הרווחה והשירותים החברתיים ומורכבת מנציג הנהלת השירות לעיוור המשמש כיו""ר הוועדה, תקציבן אגף השיקום ונציג חשבות המשרד."
3.4.16,6.7/,ועדה לכניסת מוצרים חדשים,"ממונה ע""י הנהלת השירות לעיוור . הרכב הוועדה כמפורט בסעיף 5 להלן."
3.4.16,6.7/,ועדת חריגים,וועדת סבסוד ציוד טכנולוגי תשמש גם בתפקיד וועדת חריגים. ראה סעיף 2.2 לעיל.
3.4.16,6.7/,וועדה מקצועית עליונה,"ועדה הדנה בהשגה המוגשת על החלטת מטה השירות לעיוור ראה הוראת 6.21 בתע""ס"
19.6.16,6.7/,זכיין,גוף שזכה במכרז משרד הרווחה והשירותים החברתיים לניהול 		ומכירת מכשירי עזר לאוכלוסיית היעד.
19.6.16,6.7/,ועדת סבסוד ציוד טכנולוגי,"ממונה על ידי מנכ""ל משרד הרווחה והשירותים 	החברתיים שתפקידה לבחון את זכאות הלקוח לסבסוד ומורכבת מנציג הנהלת השירות לעיוור המשמש כיו""ר הוועדה, תקציבן אגף השיקום ונציג חשבות המשרד."
19.6.16,6.7/,ועדה לכניסת מוצרים חדשים,"ממונה ע""י הנהלת השירות לעיוור . הרכב 	הוועדה כמפורט בסעיף 8 להלן."
19.6.16,6.7/,ועדת חריגים,"וועדת סבסוד ציוד טכנולוגי תשמש גם בתפקיד וועדת חריגים, 	ראה סעיף 2.2 לעיל."
19.6.16,6.7/,וועדה מקצועית עליונה,"ועדה הדנה בהשגה המוגשת על החלטת מטה השירות 	לעיוור ראה הוראת 6.21 בתע""ס."
19.6.16,6.7/,יועץ מקצועי,יועץ שזכה במכרז של משרד הרווחה והשירותים החברתיים 	למתן ייעוץ מקצועי בנושא עזרים לאנשים עם מוגבלות בראייה.
19.6.16,6.7/,יעוץ כלכלי,יועץ שזכה במכרז של משרד הרווחה והשירותים החברתיים למתן 	יעוץ כלכלי בנושא עזרים לאנשים עם מוגבלות בראייה. אוכלוסיית היעד
16.8.16,6.7/,זכיין,גוף שזכה במכרז משרד הרווחה והשירותים החברתיים לניהול 		ומכירת מכשירי עזר לאוכלוסיית היעד.
16.8.16,6.7/,ועדת סבסוד ציוד טכנולוגי,"ממונה על ידי מנכ""ל משרד הרווחה והשירותים 	החברתיים שתפקידה לבחון את זכאות הלקוח לסבסוד ומורכבת מנציג הנהלת השירות לעיוור המשמש כיו""ר הוועדה, תקציבן אגף השיקום ונציג חשבות המשרד."
16.8.16,6.7/,ועדה לכניסת מוצרים חדשים,"ממונה ע""י הנהלת השירות לעיוור . הרכב 	הוועדה כמפורט בסעיף 8 להלן."
16.8.16,6.7/,ועדת חריגים,"וועדת סבסוד ציוד טכנולוגי תשמש גם בתפקיד וועדת חריגים, 	ראה סעיף 2.2 לעיל."
16.8.16,6.7/,וועדה מקצועית עליונה,"ועדה הדנה בהשגה המוגשת על החלטת מטה השירות 	לעיוור ראה הוראת 6.21 בתע""ס."
16.8.16,6.7/,יועץ מקצועי,יועץ שזכה במכרז של משרד הרווחה והשירותים החברתיים 	למתן ייעוץ מקצועי בנושא עזרים לאנשים עם מוגבלות בראייה.
16.8.16,6.7/,יעוץ כלכלי,יועץ שזכה במכרז של משרד הרווחה והשירותים החברתיים למתן 	יעוץ כלכלי בנושא עזרים לאנשים עם מוגבלות בראייה. אוכלוסיית היעד
15.11.16,6.7/,זכיין,גוף שזכה במכרז משרד הרווחה והשירותים החברתיים לניהול 		ומכירת מכשירי עזר לאוכלוסיית היעד.
15.11.16,6.7/,ועדת סבסוד ציוד טכנולוגי,"ממונה על ידי מנכ""ל משרד הרווחה והשירותים 	החברתיים שתפקידה לבחון את זכאות הלקוח לסבסוד ומורכבת מנציג הנהלת השירות לעיוור המשמש כיו""ר הוועדה, תקציבן אגף השיקום ונציג חשבות המשרד."
15.11.16,6.7/,ועדה לכניסת מוצרים חדשים,"ממונה ע""י הנהלת השירות לעיוור . הרכב 	הוועדה כמפורט בסעיף 8 להלן."
15.11.16,6.7/,ועדת חריגים,וועדת סבסוד ציוד טכנולוגי (ראה סעיף 2.2. לעיל) תשמש גם בתפקיד וועדת חריגים ותדון בנושאים המפורטים בסעיף 9 להלן.
15.11.16,6.7/,וועדה מקצועית עליונה,"ועדה הדנה בהשגה המוגשת על החלטת מטה השירות 	לעיוור ראה הוראת 6.21 בתע""ס. אוכלוסיית היעד"
1.1.17,6.7/,זכיין,גוף שזכה במכרז משרד העבודה הרווחה והשירותים החברתיים לניהול 		ומכירת מכשירי עזר לאוכלוסיית היעד.
1.1.17,6.7/,ועדת סבסוד ציוד טכנולוגי,"ממונה על ידי מנכ""ל משרד העבודה הרווחה והשירותים 	החברתיים שתפקידה לבחון את זכאות הלקוח לסבסוד ומורכבת מנציג הנהלת השירות לעיוור המשמש כיו""ר הוועדה, תקציבן אגף השיקום"
4.1.17,6.7/,זכיין,גוף שזכה במכרז משרד העבודה הרווחה והשירותים החברתיים לניהול 	ומכירת מכשירי עזר לאוכלוסיית היעד.
4.1.17,6.7/,ועדת סבסוד ציוד טכנולוגי,"ממונה על ידי מנכ""ל משרד העבודה הרווחה והשירותים החברתיים שתפקידה לבחון את זכאות הלקוח לסבסוד ומורכבת מנציג הנהלת השירות לעיוור המשמש כיו""ר הוועדה, תקציבן אגף השיקום ונציג חשבות המשרד."
מרכז יום לזקן,4.13/,זקן,"זקן כהגדרתו בסעיף 2.2 בהוראה 4.4 בתע""ס."
מרכז יום לזקן,4.13/,זקן זכאי גמלת חוק ביטוח סיעוד,"זקן הזכאי לגמלת סיעוד עפ""י חוק ביטוח סיעוד של המוסד לביטוח לאומי."
מרכז יום לזקן,4.13/,זקן תשוש,זקן אשר מפאת תיפקודו זקוק לעזרה חלקית בפעולות היומיום.
מרכז יום לזקן,4.13/,זקן תשוש נפש,"זקן הסובל מירידה קוגנטיבית בתחומים כגון: זיכרון, שיפוט, התמצאות."
מרכז יום לזקן,4.13/,מרכז יום,מסגרת יומית בקהילה הנותנת מענה לצרכיו של הזקן התשוש או התשוש נפש שעמד בתנאי המכרז וקיבל אישור הפעלה ממשרד הרווחה.
